,No,year,month,day,hour,season,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
0,1,2010,1,1,0,4,-1,-1,-1,-1,-21.0,43.0,1021.0,-11.0,NW,1.79,0.0,0.0
1,2,2010,1,1,1,4,-1,-1,-1,-1,-21.0,47.0,1020.0,-12.0,NW,4.92,0.0,0.0
2,3,2010,1,1,2,4,-1,-1,-1,-1,-21.0,43.0,1019.0,-11.0,NW,6.71,0.0,0.0
3,4,2010,1,1,3,4,-1,-1,-1,-1,-21.0,55.0,1019.0,-14.0,NW,9.84,0.0,0.0
4,5,2010,1,1,4,4,-1,-1,-1,-1,-20.0,51.0,1018.0,-12.0,NW,12.97,0.0,0.0
5,6,2010,1,1,5,4,-1,-1,-1,-1,-19.0,47.0,1017.0,-10.0,NW,16.1,0.0,0.0
6,7,2010,1,1,6,4,-1,-1,-1,-1,-19.0,44.0,1017.0,-9.0,NW,19.23,0.0,0.0
7,8,2010,1,1,7,4,-1,-1,-1,-1,-19.0,44.0,1017.0,-9.0,NW,21.02,0.0,0.0
8,9,2010,1,1,8,4,-1,-1,-1,-1,-19.0,44.0,1017.0,-9.0,NW,24.15,0.0,0.0
9,10,2010,1,1,9,4,-1,-1,-1,-1,-20.0,37.0,1017.0,-8.0,NW,27.28,0.0,0.0
10,11,2010,1,1,10,4,-1,-1,-1,-1,-19.0,37.0,1017.0,-7.0,NW,31.3,0.0,0.0
11,12,2010,1,1,11,4,-1,-1,-1,-1,-18.0,35.0,1017.0,-5.0,NW,34.43,0.0,0.0
12,13,2010,1,1,12,4,-1,-1,-1,-1,-19.0,32.0,1015.0,-5.0,NW,37.56,0.0,0.0
13,14,2010,1,1,13,4,-1,-1,-1,-1,-18.0,30.0,1015.0,-3.0,NW,40.69,0.0,0.0
14,15,2010,1,1,14,4,-1,-1,-1,-1,-18.0,28.0,1014.0,-2.0,NW,43.82,0.0,0.0
15,16,2010,1,1,15,4,-1,-1,-1,-1,-18.0,26.0,1014.0,-1.0,NW,0.89,0.0,0.0
16,17,2010,1,1,16,4,-1,-1,-1,-1,-19.0,25.0,1015.0,-2.0,NW,1.79,0.0,0.0
17,18,2010,1,1,17,4,-1,-1,-1,-1,-18.0,30.0,1015.0,-3.0,NW,2.68,0.0,0.0
18,19,2010,1,1,18,4,-1,-1,-1,-1,-18.0,35.0,1016.0,-5.0,NE,1.79,0.0,0.0
19,20,2010,1,1,19,4,-1,-1,-1,-1,-17.0,35.0,1017.0,-4.0,NW,1.79,0.0,0.0
20,21,2010,1,1,20,4,-1,-1,-1,-1,-17.0,38.0,1017.0,-5.0,NW,0.89,0.0,0.0
21,22,2010,1,1,21,4,-1,-1,-1,-1,-17.0,38.0,1018.0,-5.0,NW,1.79,0.0,0.0
22,23,2010,1,1,22,4,-1,-1,-1,-1,-17.0,38.0,1018.0,-5.0,NW,2.68,0.0,0.0
23,24,2010,1,1,23,4,-1,-1,-1,129,-17.0,41.0,1020.0,-5.0,SE,0.89,0.0,0.0
24,25,2010,1,2,0,4,-1,-1,-1,148,-16.0,38.0,1020.0,-4.0,SE,1.79,0.0,0.0
25,26,2010,1,2,1,4,-1,-1,-1,159,-15.0,42.0,1020.0,-4.0,SE,2.68,0.0,0.0
26,27,2010,1,2,2,4,-1,-1,-1,181,-11.0,63.5,1021.0,-5.0,SE,3.57,0.0,0.0
27,28,2010,1,2,3,4,-1,-1,-1,138,-7.0,85.0,1022.0,-5.0,SE,5.36,0.0,0.0
28,29,2010,1,2,4,4,-1,-1,-1,109,-7.0,85.0,1022.0,-5.0,SE,6.25,0.0,0.0
29,30,2010,1,2,5,4,-1,-1,-1,105,-7.0,92.0,1022.0,-6.0,SE,7.14,0.0,0.0
30,31,2010,1,2,6,4,-1,-1,-1,124,-7.0,92.0,1023.0,-6.0,SE,8.93,0.0,0.0
31,32,2010,1,2,7,4,-1,-1,-1,120,-7.0,85.0,1024.0,-5.0,SE,10.72,0.0,0.0
32,33,2010,1,2,8,4,-1,-1,-1,132,-8.0,85.0,1024.0,-6.0,SE,12.51,0.0,0.0
33,34,2010,1,2,9,4,-1,-1,-1,140,-7.0,85.0,1025.0,-5.0,SE,14.3,0.0,0.0
34,35,2010,1,2,10,4,-1,-1,-1,152,-7.0,85.0,1026.0,-5.0,SE,17.43,0.0,0.0
35,36,2010,1,2,11,4,-1,-1,-1,148,-8.0,79.0,1026.0,-5.0,SE,20.56,0.0,0.0
36,37,2010,1,2,12,4,-1,-1,-1,164,-8.0,79.0,1026.0,-5.0,SE,23.69,0.0,0.0
37,38,2010,1,2,13,4,-1,-1,-1,158,-8.0,79.0,1025.0,-5.0,SE,27.71,0.0,0.0
38,39,2010,1,2,14,4,-1,-1,-1,154,-9.0,73.0,1025.0,-5.0,SE,31.73,0.0,0.0
